Player,serveRating,1stServePct,1stServePointsWonPct,2ndServePointsWonPct,serviceGamesWonPct,avgAcesPerMatch,avgDblFaultsPerMatch
Carlos Moya,264.3,58.60%,71.80%,51.60%,79.70%,5.2,2.6
Marc-Kevin Goellner,264.2,51.90%,78.60%,48.00%,79.70%,10.7,4.7
Jakob Hlasek,264.2,59.30%,74.10%,48.80%,79.50%,6,3.5
Pablo Carreno Busta,264.1,64.10%,68.70%,51.60%,77.60%,4,1.9
Ryan Harrison,264.1,59.50%,71.80%,50.50%,78.70%,7,3.4
Mariano Puerta,264.1,65.10%,68.70%,51.50%,77.30%,3.5,2
Paradorn Srichaphan,264.1,56.80%,73.30%,51.60%,79.50%,6.3,3.4
Wayne Ferreira,263.7,55.30%,74.40%,50.20%,79.60%,7.2,3
Cyril Saulnier,263.7,56.10%,73.30%,51.30%,79.00%,7.1,3.1
Xavier Malisse,263.6,56.80%,73.10%,50.90%,78.20%,6.8,2.2
Igor Sijsling,263.6,58.90%,73.20%,48.70%,78.10%,7.2,2.5
Richard Fromberg,263.5,58.80%,74.10%,47.60%,78.30%,8.4,3.7
Jordan Thompson,263.5,63.80%,70.10%,48.60%,77.40%,6.1,2.5
Robert Kendrick,263.4,58.40%,74.00%,47.40%,78.30%,9.6,4.3
Karel Novacek,263.4,56.90%,73.40%,50.00%,79.20%,6.2,2.3
Marcos Baghdatis,263.3,53.10%,74.80%,51.50%,79.90%,7.3,3.3
Michael Berrer,263.3,64.10%,70.90%,48.40%,77.60%,5.7,3.4
Ivan Dodig,263.3,58.70%,72.50%,49.40%,77.70%,8.2,3.2
Brian Dabul,263.3,68.00%,67.80%,50.30%,76.60%,2.3,1.7
Brian MacPhie,263.2,56.60%,74.10%,48.90%,79.30%,8.4,4.1
Thiago Monteiro,263.2,63.90%,69.70%,50.80%,77.00%,4.3,2.5
Marcelo Rios,263.2,57.60%,71.30%,53.00%,79.50%,4.6,2.8
Gilles Elseneer,263.1,61.50%,72.20%,48.20%,78.30%,7,4.1
Dmitry Tursunov,263.1,57.30%,72.70%,50.40%,79.20%,7.4,3.9
Lleyton Hewitt,263,53.90%,73.70%,52.60%,80.20%,6.2,3.6
Martin Damm,262.9,55.70%,75.00%,49.00%,78.60%,8.2,3.6
Cameron Norrie,262.9,64.70%,69.70%,49.10%,78.30%,4.6,3.5
Ramkumar Ramanathan,262.9,58.80%,73.70%,47.70%,79.30%,7.4,4
Edouard Roger-Vasselin,262.8,64.80%,69.20%,49.60%,77.30%,4.3,2.4
Viktor Troicki,262.7,60.70%,72.50%,47.40%,76.80%,7.8,2.5
Taylor Dent,262.6,57.10%,75.20%,49.00%,79.60%,7.5,5.8
Gary Muller,262.6,57.10%,74.40%,47.50%,78.50%,9.3,4.2
Andrei Pavel,262.6,64.60%,68.90%,49.60%,76.70%,4.9,2.1
Aljaz Bedene,262.4,57.00%,73.60%,49.00%,77.20%,8.4,2.8
James Duckworth,262.4,56.20%,72.60%,49.40%,78.10%,10,3.9
Thomas Enqvist,262.4,54.90%,75.50%,49.40%,79.60%,7.7,4.7
Sebastien Grosjean,262.4,55.70%,72.00%,52.20%,78.60%,5.6,1.7
John Millman,262.4,62.10%,68.40%,52.90%,76.60%,4.4,2
Scott Draper,262.2,56.30%,72.50%,51.30%,78.20%,6.8,2.9
Agustin Calleri,261.9,55.30%,74.40%,49.80%,78.80%,7,3.4
Robin Haase,261.9,59.40%,71.70%,49.40%,77.70%,6.5,2.8
Jurgen Melzer,261.9,61.40%,69.80%,50.60%,77.60%,5.4,2.9
Lukas Rosol,261.9,58.10%,72.20%,49.70%,78.60%,6.7,3.4
Nicolas Pereira,261.8,61.40%,73.10%,46.10%,78.10%,6.4,3.3
Brett Steven,261.8,65.10%,68.70%,50.20%,77.30%,3.6,3.1
Jiri Novak,261.7,65.10%,68.40%,49.90%,76.50%,4,2.2
Philipp Petzschner,261.7,55.40%,74.00%,49.80%,78.40%,7.2,3.1
Fernon Wibier,261.7,66.30%,70.50%,46.60%,77.40%,6.2,5.3
David Ferrer,261.6,63.00%,68.60%,52.40%,77.50%,2.7,2.6
Julien Benneteau,261.5,64.30%,69.40%,48.80%,76.40%,5.9,3.3
Santiago Giraldo,261.5,63.60%,68.20%,50.80%,76.70%,3.7,1.5
Kristian Pless,261.4,60.90%,70.00%,50.80%,77.10%,6.2,3.6
Cedric Pioline,261.3,57.20%,73.50%,49.40%,79.10%,5.8,3.7
Alex Bogdanovic,261.2,64.40%,70.00%,48.20%,76.20%,5.6,3.2
Mischa Zverev,261.2,64.50%,69.20%,48.80%,75.90%,5,2.2
Michael Chang,261.1,55.80%,71.50%,52.50%,78.90%,4.3,1.9
Bradley Klahn,261.1,61.10%,70.60%,49.60%,76.40%,8,4.6
Hyeon Chung,261,62.30%,70.30%,50.40%,77.20%,3.6,2.8
Emilio Sanchez,261,64.70%,67.80%,50.60%,75.70%,3.5,1.3
Daniele Bracciali,260.9,52.90%,74.10%,50.50%,78.90%,7.5,3
Marc Gicquel,260.8,57.00%,72.40%,49.80%,77.90%,6,2.3
Magnus Norman,260.8,57.80%,71.80%,50.00%,77.50%,6.3,2.6
Daniel Vacek,260.7,57.90%,74.00%,48.50%,78.30%,6.9,4.9
Jarkko Nieminen,260.5,65.40%,67.60%,50.30%,76.20%,3.1,2.1
Alex O'Brien,260.3,63.40%,69.20%,49.80%,75.90%,4.6,2.6
Nicolas Escude,260.2,56.30%,72.80%,50.20%,77.80%,6.6,3.5
Jerome Golmard,260.2,59.00%,71.00%,50.40%,78.10%,5.5,3.8
David Goffin,260.2,58.20%,71.50%,50.90%,77.60%,5.4,3.4
Cristian Garin,260.2,60.50%,70.60%,50.40%,77.00%,4.4,2.7
Konstantin Kravchuk,260.2,62.00%,71.90%,46.60%,75.10%,7.5,2.9
Mikhail Youzhny,260.2,60.70%,69.40%,51.30%,77.40%,4,2.6
Filip Krajinovic,260.1,63.70%,67.90%,50.70%,75.00%,4.8,2
Juan Monaco,260.1,67.80%,65.20%,52.60%,74.20%,2.2,1.9
James Ward,260.1,60.40%,70.60%,48.90%,76.40%,7.1,3.3
Yevgeny Kafelnikov,260,55.60%,73.30%,50.60%,79.00%,5.6,4.1
Hyung-Taik Lee,260,63.10%,67.90%,52.00%,75.70%,3.4,2.1
Lukas Lacko,260,58.70%,71.20%,50.00%,76.30%,6.4,2.6
Jeff Salzenstein,260,61.00%,73.20%,45.30%,76.50%,8.3,4.3
Michael Tebbutt,260,52.80%,78.00%,45.80%,78.80%,11.1,6.5
Darren Cahill,259.9,59.80%,71.00%,49.50%,78.80%,3.7,2.9
Chris Woodruff,259.9,60.30%,71.80%,48.20%,77.90%,6,4.3
Grant Connell,259.8,58.40%,71.50%,49.30%,78.60%,5.2,3.2
Marco Cecchinato,259.7,65.90%,68.40%,48.30%,75.20%,4.5,2.6
Mackenzie McDonald,259.6,62.90%,68.80%,50.10%,76.60%,4.4,3.2
Daniel Evans,259.5,60.70%,70.40%,50.40%,76.70%,4.9,3.6
Andrei Olhovskiy,259.5,56.30%,74.60%,47.60%,77.70%,7.6,4.3
Chris Pridham,259.4,58.70%,70.10%,51.30%,79.30%,3.3,3.3
Federico Delbonis,259.3,60.30%,69.70%,51.60%,77.40%,3.7,3.4
Glenn Weiner,259.3,57.30%,74.40%,47.20%,76.90%,8.5,5
Prakash Amritraj,259.2,59.80%,69.60%,51.70%,76.40%,4.2,2.5
Thomaz Bellucci,259.2,58.10%,70.50%,51.10%,76.70%,6,3.2
Mirza Basic,259.2,58.40%,69.40%,51.40%,76.60%,5.4,2
Florian Mayer,259.1,61.80%,69.00%,50.10%,75.80%,4.2,1.8
Jeff Morrison,259.1,57.70%,72.70%,47.60%,77.20%,7.9,4
Paul Haarhuis,259,60.00%,69.70%,50.40%,76.70%,4.5,2.3
Marsel Ilhan,259,61.70%,69.50%,48.50%,75.10%,6.2,2
Evgeny Donskoy,258.9,58.60%,70.00%,50.60%,77.00%,5,2.3
Albert Ramos-Vinolas,258.9,61.80%,68.00%,51.60%,76.50%,3.5,2.5
Guillermo Canas,258.8,57.80%,71.10%,51.00%,76.90%,4.9,2.9
Laslo Djere,258.8,60.20%,70.00%,50.10%,76.70%,5,3.2
Andrey Rublev,258.8,59.60%,71.60%,48.70%,77.30%,5.3,3.7
Jan Apell,258.7,61.60%,69.60%,49.40%,76.20%,4.7,2.8
Amos Mansdorf,258.6,57.50%,69.80%,52.10%,77.70%,3.8,2.3
Peter Luczak,258.5,62.30%,68.30%,49.80%,75.50%,5.3,2.7
Yen-Hsun Lu,258.5,60.60%,70.40%,50.40%,76.20%,4.3,3.4
David Nalbandian,258.5,59.10%,69.40%,52.30%,77.30%,3.7,3.3
Paul-Henri Mathieu,258.4,55.00%,71.80%,51.60%,78.20%,4.9,3.1
Noam Okun,258.4,61.00%,68.60%,51.00%,75.80%,5.3,3.3
Stephane Simian,258.4,62.60%,71.10%,47.00%,77.00%,5,4.3
Julien Boutter,258.3,55.40%,73.70%,48.60%,77.70%,9.7,6.8
Kristof Vliegen,258.3,61.30%,69.20%,49.80%,74.50%,5.7,2.2
Andreas Beck,258.2,59.20%,69.30%,52.00%,77.50%,4.5,4.3
Alex Calatrava,258.2,59.00%,70.90%,48.70%,75.50%,6.2,2.1
Magnus Gustafsson,258.2,65.10%,68.10%,49.60%,76.10%,2.8,3.5
Adrian Mannarino,258.2,60.70%,69.20%,50.60%,75.70%,4.6,2.6
Derrick Rostagno,258.2,61.20%,70.80%,47.50%,76.60%,5.6,3.5
Joao Souza,258.2,62.60%,69.80%,48.60%,74.20%,5.3,2.3
Matthias Bachinger,258.1,59.30%,71.80%,47.00%,75.90%,6.9,2.8
Steve Darcis,258.1,60.70%,69.20%,50.50%,75.80%,4,2.1
Lars Rehmann,258,63.70%,72.10%,43.80%,77.20%,5.1,3.9
Grega Zemlja,258,58.90%,70.90%,48.40%,75.50%,7.4,3.1
Marco Chiudinelli,257.9,59.80%,69.90%,50.20%,76.70%,4.2,2.9
Nicolas Kiefer,257.9,52.70%,74.80%,49.40%,78.00%,6.8,3.8
Sjeng Schalken,257.9,62.40%,69.00%,49.80%,76.40%,3.8,3.5
Peter Gojowczyk,257.8,54.80%,74.20%,48.10%,77.30%,7.1,3.7
Bobby Reynolds,257.8,58.80%,70.30%,48.70%,74.80%,8.8,3.6
Victor Estrella Burgos,257.6,64.80%,67.10%,50.20%,74.40%,3.6,2.5
Jason Stoltenberg,257.6,57.00%,73.00%,48.50%,77.20%,5.5,3.6
Guillaume Raoux,257.5,53.10%,72.80%,51.50%,78.20%,4.9,3
Jose Acasuso,257.2,54.20%,72.30%,50.60%,77.50%,5.3,2.7
German Lopez,257.2,52.40%,73.90%,49.00%,77.40%,6.9,2.4
Jurgen Zopp,257.2,60.00%,69.80%,48.80%,76.50%,4.9,2.8
Luiz Mattar,257.1,57.80%,69.30%,51.00%,75.70%,5.4,2.1
Andreas Seppi,257.1,58.20%,70.50%,50.10%,76.20%,4.9,2.8
Joao Sousa,257.1,61.00%,70.00%,49.10%,75.50%,3.7,2.2
Alexander Bublik,257,58.40%,74.30%,43.50%,75.40%,13.1,7.7
Gilles Simon,257,57.30%,69.50%,51.70%,76.40%,4.3,2.2
Sergi Bruguera,256.9,59.00%,69.60%,50.60%,75.80%,3.8,1.9
Alexander Mronz,256.9,54.80%,73.90%,48.80%,76.70%,6,3.3
Andrey Kuznetsov,256.9,57.80%,71.20%,49.70%,76.10%,5.1,3
Eduardo Schwank,256.9,62.60%,67.40%,51.30%,74.80%,3.9,3.1
Fredrik Jonsson,256.8,59.00%,69.30%,48.80%,75.90%,5.7,1.9
Arnaud Boetsch,256.7,56.90%,71.20%,50.40%,77.30%,4.1,3.2
Alex Corretja,256.7,57.40%,69.50%,51.90%,76.50%,3.8,2.4
Tommy Ho,256.7,59.90%,69.20%,50.20%,76.10%,4.2,2.9
Nicolas Lapentti,256.6,60.40%,70.30%,48.30%,75.40%,4.9,2.7
Alberto Mancini,256.6,63.40%,66.90%,51.20%,74.40%,2.8,2.1
Joern Renzenbrink,256.6,59.30%,73.80%,44.60%,77.20%,7.5,5.8
Karsten Braasch,256.5,55.20%,74.40%,45.70%,77.00%,6.9,2.7
Jared Donaldson,256.5,52.20%,73.70%,51.10%,77.40%,6.1,4
Richey Reneberg,256.5,55.80%,71.20%,50.90%,76.60%,4.6,2.6
Andreas Vinciguerra,256.4,59.10%,69.60%,49.60%,76.40%,4.5,2.8
Alberto Berasategui,256.3,73.60%,63.20%,48.80%,71.80%,1.6,2.7
Jared Palmer,256.3,60.60%,69.60%,49.40%,76.70%,4.1,4.1
Michal Przysiezny,256.3,58.20%,71.30%,47.80%,75.30%,7.4,3.7
Andrei Medvedev,256,57.40%,71.50%,48.70%,76.30%,5.6,3.5
Julian Reister,256,69.90%,65.60%,47.50%,72.40%,3.4,2.8
Jaume Munar,255.9,62.70%,68.70%,48.40%,74.10%,4.4,2.4
Ricardas Berankis,255.8,56.10%,70.50%,51.30%,76.80%,4.7,3.6
Petr Korda,255.8,58.70%,71.70%,48.30%,77.60%,4.3,4.8
Laurence Tieleman,255.8,52.40%,75.10%,48.60%,77.70%,7.3,5.3
Felix Mantilla,255.7,62.20%,67.00%,51.30%,74.60%,2.9,2.3
Sandon Stolle,255.7,58.00%,74.10%,45.50%,76.70%,6.8,5.4
Pat Cash,255.6,58.10%,71.70%,47.60%,76.20%,6,4
Kevin Curren,255.6,49.40%,75.90%,49.30%,77.20%,7.5,3.7
Mark Woodforde,255.6,57.50%,71.10%,49.20%,76.70%,4.7,3.6
Arnaud Clement,255.5,56.80%,70.50%,50.00%,75.90%,5.1,2.8
Aaron Krickstein,255.5,58.50%,68.80%,50.90%,75.20%,4.3,2.2
Brian Baker,255.4,62.20%,69.10%,48.50%,75.00%,4.9,4.3
Alex Kuznetsov,255.4,59.60%,71.70%,46.60%,72.60%,7.6,2.7
Todd Reid,255.4,70.10%,64.20%,48.00%,71.60%,3.4,1.9
Guillermo Coria,255.3,63.00%,67.90%,50.10%,75.10%,2.9,3.7
